local_name	source_url
P1180168.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180169.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180170.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180171.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180172.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180173.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180174.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180175.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180176.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180177.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180178.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
P1180179.JPG	https://github.com/colmap/colmap/releases/download/3.11.1/south-building.zip
